Region,Population,Surface_km2,Density_pop/km2,Number_towns,Number_provinces
Abruzzo,1285256,10831.50,119,305,4
Basilicata,547579,10073.11,54,131,2
Calabria,1877728,15221.61,123,404,5
Campania,5679759,13670.60,415,550,5
Emilia-Romagna,4445549,22444.54,198,328,9
Friuli-Venezia-Giulia,1198753,7932.48,151,215,4
Lazio,5720796,17231.72,332,378,5
Liguria,1509805,5416.15,279,234,4
Lombardia,9966992,23863.10,418,1506,12
Marche,1501406,9401.18,160,227,5
Molise,296547,4460.44,66,136,2
Trentino-Alto-Adige,4273210,25386.70,168,1181,8
Piemonte,3926931,19540.52,201,257,6
Puglia,1598225,24099.45,66,377,5
Sardegna,4840876,25832.55,187,391,9
Sicilia,3668333,22987.44,160,273,10
Toscana,1078460,13604.72,79,282,2
Umbria,865013,8464.22,102,92,2
Valle d'Aosta,123895,3260.85,38,74,1
Veneto,4852453,18345.37,265,563,7